Grouping,"Lead Request Users","Lead Users",Leads,Leads/LU,"Unreconciled Publisher Lead Revenue","Clickout Impressions",Clickouts,"Clickthrough Rate","Unreconciled Publisher Clickout Revenue","Unreconciled Publisher Total Revenue","Source Code","Tracking Code","Adult Lead Request Users","Adult Lead Users","Adult Leads","Adult Leads / LU","Adult Unreconciled Publisher Lead Revenue","Adult Clickouts","Adult Clickout Revenue","High School Lead Request Users","High School Lead Users","High School Leads","High School Leads / LU","High School Unreconciled Publisher Lead Revenue","High School Clickouts","High School Clickout Revenue"
"2017-12-30 Sat",1,0,0,0,0,2,1,0.5,6.71,6.71,sa-B0D889DD-_pb-b1_cp-277140607_ag-1210562331781267_dv-c_kw-75660169872222_var-b_,,1,0,0,,0,1,6.71,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b1_cp-277140607_ag-1211661843245828_dv-c_kw-75728889223629_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,7,5,0.7143,17.58,17.58,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266566_var-b_,,1,0,0,,0,5,17.58,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,2,1,0.5,0.23,0.23,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266659_var-b_,,1,0,0,,0,1,0.23,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-c_kw-75866353266903_var-b_,,1,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,2,1,0.5,3.36,3.36,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266566_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",3,1,1,1,26,9,4,0.44439999999999996,16.29,42.29,sa-B0D889DD-_pb-b2_cp-277399748_ag-1213860900123734_dv-m_kw-75866353266659_var-b_,,3,1,1,1,26,4,16.29,0,0,0,,0,0,0
"2017-12-30 Sat",1,0,0,0,0,2,1,0.5,2.2,2.2,sa-B0D889DD-_pb-b2_cp-277399748_ag-1214960411601655_dv-c_kw-75935072609265_var-b_,,1,0,0,,0,1,2.2,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,2,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1216059923223192_dv-c_kw-76003792332016_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,3,1,0.3333,3.05,3.05,sa-B0D889DD-_pb-b2_cp-277399748_ag-1216059923223192_dv-c_kw-76003792332019_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,1,0,0,0,0,sa-B0D889DD-_pb-b2_cp-277399748_ag-1217159435019369_dv-c_kw-76072511919089_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,2,1,0.5,1.65,1.65,sa-B0D889DD-_pb-b2_cp-277399748_ag-1217159435019369_dv-c_kw-76072511919106_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
"2017-12-30 Sat",0,0,0,0,0,,0,,0,0,sa-B0D889DD-_pb-g1_cp-232086641_ag-18099026681_dv-m_kw-kwd-132618986441_var-b_,,0,0,0,,0,0,0,0,0,0,,0,0,0
